canonical_key,name_ko,district,merged_line_count,merged_lines,station_codes,coord_spread_m,name_variants,official_transfer_flag,transfer_line_match,operator_differs,ja_missing,zh_missing,decision,needs_review,review_reason
서원,서원,11620 관악구,1,수도권 경량도시철도 신림선,S409,0,서원,N,n/a,false,true,true,single,false,
서초,서초,11650 서초구,1,2호선,0224,0,서초,N,n/a,false,false,false,single,false,
석촌고분,석촌고분,11710 송파구,1,수도권  도시철도 9호선,4132,0,석촌고분,N,n/a,false,false,false,single,false,
선유도,선유도,11560 영등포구,1,서울 도시철도 9호선,4112,0,선유도,N,n/a,false,true,true,single,false,
성수,성수,11200 성동구,1,2호선,0211,0,성수,N,n/a,false,false,false,single,false,
솔밭공원,솔밭공원,11305 강북구,1,우이신설선,S111,0,솔밭공원,N,n/a,false,true,true,single,false,
솔샘,솔샘,11305 강북구,1,우이신설선,S117,0,솔샘,N,n/a,false,true,true,single,false,
송정,송정,11500 강서구,1,5호선,0513,0,송정,N,n/a,false,false,false,single,false,
송파,송파,11710 송파구,1,8호선,0816,0,송파,N,n/a,false,false,false,single,false,
송파나루,송파나루,11710 송파구,1,수도권  도시철도 9호선,4134,0,송파나루,N,n/a,false,false,false,single,false,
수락산,수락산,11350 노원구,1,7호선,0711,0,수락산,N,n/a,false,false,false,single,false,
수색,수색역,11380 은평구,1,경의중앙선,1267,0,수색역,N,n/a,false,true,true,single,false,
수유,수유,11305 강북구,1,4호선,0414,0,수유 | 수유(강북구청) | 강북구청,N,n/a,false,false,false,single,false,
숙대입구,숙대입구,11170 용산구,1,4호선,0427,0,숙대입구 | 숙대입구(갈월) | 갈월 | 숙대입구(서울시교육청),N,n/a,false,false,false,single,false,
숭실대입구,숭실대입구,11590 동작구,1,7호선,0738,0,숭실대입구 | 숭실대입구(살피재) | 살피재,N,n/a,false,false,false,single,false,
신금호,신금호,11200 성동구,1,5호선,0538,0,신금호,N,n/a,false,false,false,single,false,
신답,신답,11200 성동구,1,2호선,2112,0,신답,N,n/a,false,false,false,single,false,
신대방,신대방,11620 관악구,1,2호선,0231,0,신대방,N,n/a,false,false,false,single,false,
신대방삼거리,신대방삼거리,11590 동작구,1,7호선,0741,0,신대방삼거리,N,n/a,false,false,false,single,false,
신목동,신목동,11470 양천구,1,서울 도시철도 9호선,4111,0,신목동,N,n/a,false,true,true,single,false,
신반포,신반포,11650 서초구,1,서울 도시철도 9호선,4122,0,신반포,N,n/a,false,true,true,single,false,
신방화,신방화,11500 강서구,1,서울 도시철도 9호선,4104,0,신방화,N,n/a,false,true,true,single,false,
신용산,신용산,11170 용산구,1,4호선,0429,0,신용산,N,n/a,false,false,false,single,false,
신이문,신이문역,11230 동대문구,1,경원선,1017,0,신이문역,N,n/a,false,true,true,single,false,
신정,신정,11470 양천구,1,5호선,0519,0,신정 | 신정(은행정) | 은행정,N,n/a,false,false,false,single,false,
신정네거리,신정네거리,11470 양천구,1,2호선,2343,0,신정네거리,N,n/a,false,false,false,single,false,
신촌,신촌,11410 서대문구,1,2호선,0240,0,신촌 | 신촌(지하) | 지하,N,n/a,false,false,false,hold,false,"[OVERRIDE RV-a91b0e49 CONFIRMED_SPLIT] 2호선↔경의중앙선 701m: 환승역 아님(2호선=""일반역"", 경의중앙선=""일반역"") / 환승노선 불일치(2호선쪽 환승노선번호 공란 / 경의중앙선쪽 환승노선번호 공란)"
신촌,신촌역,11410 서대문구,1,경의중앙선,1252,0,신촌역 | 신촌(지하),N,n/a,false,false,false,hold,false,"[OVERRIDE RV-a91b0e49 CONFIRMED_SPLIT] 2호선↔경의중앙선 701m: 환승역 아님(2호선=""일반역"", 경의중앙선=""일반역"") / 환승노선 불일치(2호선쪽 환승노선번호 공란 / 경의중앙선쪽 환승노선번호 공란)"
신풍,신풍,11560 영등포구,1,7호선,0743,0,신풍,N,n/a,false,false,false,single,false,
쌍문,쌍문,11320 도봉구,1,4호선,0413,0,쌍문,N,n/a,false,false,false,single,false,
아차산,아차산,11215 광진구,1,5호선,0545,0,아차산 | 아차산(어린이대공원후문) | 어린이대공원후문,N,n/a,false,false,false,single,false,
아현,아현,11410 서대문구,1,2호선,0242,0,아현,N,n/a,false,false,false,single,false,
안국,안국,11110 종로구,1,3호선,0328,0,안국,N,n/a,false,false,false,single,false,
안암,안암,11290 성북구,1,6호선,0639,0,안암 | 안암(고대병원앞) | 고대병원앞,N,n/a,false,false,false,single,false,
암사,암사,11740 강동구,1,8호선,0810,0,암사,N,n/a,false,false,false,single,false,
암사역사공원,암사역사공원,11740 강동구,1,8호선,0809,0,암사역사공원,N,n/a,false,false,false,single,false,
압구정,압구정,11680 강남구,1,3호선,0336,0,압구정,N,n/a,false,false,false,single,false,
압구정로데오,압구정로데오역,11680 강남구,1,분당선,1848,0,압구정로데오역,N,n/a,false,true,true,single,false,
애오개,애오개,11440 마포구,1,5호선,0530,0,애오개,N,n/a,false,false,false,single,false,
양재시민의숲,양재시민의숲,11650 서초구,1,신분당선,D009,0,양재시민의숲 | 양재시민의숲(매헌) | 매헌,N,n/a,false,true,true,single,false,
양천구청,양천구청,11470 양천구,1,2호선,2342,0,양천구청,N,n/a,false,false,false,single,false,
양천향교,양천향교,11500 강서구,1,서울 도시철도 9호선,4106,0,양천향교,N,n/a,false,true,true,single,false,
양평,양평,11560 영등포구,1,5호선,0522,0,양평,N,n/a,false,false,false,single,false,
어린이대공원,어린이대공원,11215 광진구,1,7호선,0726,0,어린이대공원 | 어린이대공원(세종대) | 세종대,N,n/a,false,false,false,single,false,
언주,언주,11680 강남구,1,수도권  도시철도 9호선,4126,0,언주,N,n/a,false,false,false,single,false,
여의나루,여의나루,11560 영등포구,1,5호선,0527,0,여의나루,N,n/a,false,false,false,single,false,
역삼,역삼,11680 강남구,1,2호선,0221,0,역삼,N,n/a,false,false,false,single,false,
역촌,역촌,11380 은평구,1,6호선,0611,0,역촌,N,n/a,false,false,false,single,false,
염창,염창,11470 양천구,1,서울 도시철도 9호선,4110,0,염창,N,n/a,false,true,true,single,false,
영등포,영등포역,11560 영등포구,1,경부선,1006,0,영등포역,N,n/a,false,true,true,single,false,
영등포시장,영등포시장,11560 영등포구,1,5호선,0524,0,영등포시장,N,n/a,false,false,false,single,false,
오류동,오류동역,11530 구로구,1,경인선,1802,0,오류동역,N,n/a,false,true,true,single,false,
오목교,오목교,11470 양천구,1,5호선,0521,0,오목교 | 오목교(목동운동장앞) | 목동운동장앞,N,n/a,false,false,false,single,false,
외대앞,외대앞역,11230 동대문구,1,경원선,1016,0,외대앞역,N,n/a,false,true,true,single,false,
용답,용답,11200 성동구,1,2호선,2111,0,용답,N,n/a,false,false,false,single,false,
용두,용두,11230 동대문구,1,2호선,2113,0,용두 | 용두(동대문구청) | 동대문구청,N,n/a,false,false,false,single,false,
용마산,용마산,11260 중랑구,1,7호선,0723,0,용마산 | 용마산(용마폭포공원) | 용마폭포공원,N,n/a,false,false,false,single,false,
용산,용산역,11170 용산구,2,경부선 · 경원선,1003 1003,0,용산역,Y,true,false,true,true,merge,false,
우장산,우장산,11500 강서구,1,5호선,0516,0,우장산,N,n/a,false,false,false,single,false,
월계,월계역,11350 노원구,1,경원선,1020,0,월계역,N,n/a,false,true,true,single,false,
월곡,월곡,11290 성북구,1,6호선,0641,0,월곡 | 월곡(동덕여대) | 동덕여대,N,n/a,false,false,false,single,false,
월드컵경기장,월드컵경기장,11440 마포구,1,6호선,0619,0,월드컵경기장 | 월드컵경기장(성산) | 성산,N,n/a,false,false,false,single,false,
을지로입구,을지로입구,11140 중구,1,2호선,0202,0,을지로입구,N,n/a,false,false,false,single,false,
응봉,응봉역,11200 성동구,1,경원선,1012,0,응봉역,N,n/a,false,true,true,single,false,
응암,응암,11380 은평구,1,6호선,0610,0,응암,N,n/a,false,false,false,single,false,
이대,이대,11440 마포구,1,2호선,0241,0,이대,N,n/a,false,false,false,single,false,
이수,이수,11590 동작구,1,7호선,0736,0,이수,Y,n/a,false,false,false,single,false,
이태원,이태원,11170 용산구,1,6호선,0630,0,이태원,N,n/a,false,false,false,single,false,
일원,일원,11680 강남구,1,3호선,0348,0,일원,N,n/a,false,false,false,single,false,
